Group,Name,Slug,Logo
K,Kleveru,739_kleveru,https://images.soco.id/99941096-1a62-40fa-8949-386c02a5b53c-.jpg
K,KOSE,530_kose,https://images.soco.id/67eef754-41c2-453f-b1f9-351e9c7dda60-.jpg
K,Kundal,1232_kundal,https://images.soco.id/6e474736-b9b6-4d36-ae82-a7a105174212-.jpg
K,Kusuma Kosmetika,15699_kusuma-kosmetika,https://images.soco.id/9906af54-a251-4b9c-9ad4-72301761b675-.jpg
L,La'Dor,1101_lador,https://images.soco.id/ab476f07-fc2e-4ebc-b7cc-1365647c3b98-.jpg
L,Lab On Hair,15707_lab-on-hair,https://images.soco.id/e48228a3-7771-438c-8563-d50cbe7feb46-.jpg
L,Labore,15677_labore,
L,Lacoco,744_lacoco,https://images.soco.id/c3dc2df1-2acd-4b21-81f2-f230e6d91b39-.jpg
L,Lae Sa Luay,1345_lae-sa-luay,https://images.soco.id/3e2a5f4c-085c-4a9f-9c5a-006da152e169-.jpg
L,Lagom,782_lagom,https://images.soco.id/602c3e26-915c-4811-9656-9b5d45f99b0c-.jpg
L,Lamica,228_lamica,https://images.soco.id/64e02f9f-02c2-4765-a6f6-b371ad8efaa4-.jpg
L,Laneige,101_laneige,https://images.soco.id/29852942-ca11-457b-8ecb-c7dcbbe2cadb-.jpg
L,Lavie Lash,155_lavie-lash,https://images.soco.id/c99510bb-3d95-4f46-afd2-d7d9fc740950-.jpg
L,Lavojoy,15517_lavojoy,https://images.soco.id/702a2a43-8628-4e8f-a721-de3803664b5a-.jpg
L,Le Havre,15497_le-havre,https://images.soco.id/a061b43a-cb1b-487d-9adc-3a0460359996-.jpg
L,Leaders,527_leaders,https://images.soco.id/055da686-cc14-4fbd-b188-cd98478c480e-.jpg
L,Lembang Soap,15648_lembang-soap,https://images.soco.id/345385ce-b501-493a-8182-57596fbfd1e0-.jpg
L,Liese,15413_liese,https://images.soco.id/98c66e94-7057-44cc-9ae1-026d62f76ab3-.jpg
L,Like Im Five,14865_like-im-five,https://images.soco.id/4694c9c1-c4d6-48d3-9c54-8a9db5df7415-.jpg
L,Lilith and Eve,15706_lilith-and-eve,https://images.soco.id/23363bfb-78f4-4f14-8798-79076b716abd-.jpg
L,lilybyred,15629_lilybyred,https://images.soco.id/e9047239-7b59-4e57-ba12-a22695d5a2fd-.jpg
L,LIPLAPIN,821_liplapin,https://images.soco.id/23fc6e37-c13f-4dc0-89ba-aea17c270bf6-.jpg
L,Looke Cosmetics,14867_looke-cosmetics,https://images.soco.id/3e3f983f-8119-4083-9994-050fb25ce560-.jpg
L,Loreal Paris,125_loreal-paris,https://images.soco.id/1acf87c8-6c96-4e81-bba5-35d319652665-.jpg
L,Loreca,826_loreca,https://images.soco.id/3564d7db-a409-4bbe-bc27-950a77602282-.jpg
L,Love Beauty And Planet,2193_love-beauty-and-planet,https://images.soco.id/ce3c121e-5244-40af-827b-3fd521d00b1e-.jpg
L,LULULUN,1042_lululun,https://images.soco.id/1d18cbab-0ceb-45b1-b32d-61e6ba690f33-.jpg
L,LUNA,15704_luna,https://images.soco.id/e3790596-dff6-45d3-b624-5f9f0a11923a-.jpg
L,Lunesse,15691_lunesse,https://images.soco.id/42be49ac-0077-4252-9c0e-8f8bc3887a76-.jpg
M,Mad For Makeup,300_mad-for-makeup,https://images.soco.id/6bbdc64a-3131-4e33-aa4d-fce6011cd902-.jpg
M,Makarizo,242_makarizo,https://images.soco.id/e838f7a0-4c52-4a04-8bf1-c7f7e69cd910-.jpg
M,Makarizo Professional,938_makarizo-professional,https://images.soco.id/969253eb-99a3-45bb-83a6-b5bb91a7f4fc-.jpg
M,Make Over,1261_make-over,https://images.soco.id/643b5ca3-5e41-4eeb-b07e-edebf456105f-.jpg
M,Make P:rem,908_make-p-rem,https://images.soco.id/8444b796-b0a7-4b0b-ab0c-1088feb266bd-.jpg
M,Mama Butter,1385_mama-butter,https://images.soco.id/2afd8a60-e64d-41fe-8628-5a4d3951bc69-.jpg
M,Masami,127_masami,https://images.soco.id/0975c0b9-75c5-4f37-9f99-c003707af7a0-.jpg
M,Maska,711_maska,https://images.soco.id/4f95db83-7f13-49db-8136-3db3ca1271a1-.jpg
M,Maybelline,128_maybelline,https://images.soco.id/653ee355-b755-4386-b89e-2f06d5581921-.jpg
M,Mediheal,235_mediheal,https://images.soco.id/35e197d4-390e-4a41-b3cc-bad4ebd30cff-.jpg
M,MegRhythm,823_megrhythm,https://images.soco.id/cb0ef064-1ffa-4002-97fb-f00a95b97456-.jpg
M,Memoir,15682_memoir,https://images.soco.id/ec6c0a3f-db2a-4ec6-9d12-4a1ee723d7f3-.jpg
M,Mercredi,15723_mercredi,https://images.soco.id/5f3e189a-4a05-4da7-9876-3a741e86b4d1-.jpg
M,Milkshake,15618_milkshake,https://images.soco.id/ae822bb9-7be2-4eff-bb7e-8144a026612e-.jpg
M,Mine.,15692_mine,https://images.soco.id/4e5fba20-289a-4afa-9213-ac30e4bd287b-.jpg
M,Mineral Botanica,1266_mineral-botanica,https://images.soco.id/31207067568-1598434832554.png
M,Mirael,847_mirael,https://images.soco.id/2c81d359-337e-4c20-9c93-5c8db1d5f4cb-.jpg
M,Miss Daisy,15650_miss-daisy,https://images.soco.id/3c271883-4250-4872-b15b-5e7850f7a11e-.jpg
M,Missha,209_missha,https://images.soco.id/dd55a423-54a8-4348-b853-952d17abe9e7-.jpg
M,Mixsoon,1405_mixsoon,https://images.soco.id/705ebc00-8bce-41c3-b19e-5247cb8f846c-.jpg
M,Mizzu,236_mizzu,https://images.soco.id/bbe41d72-1d6a-4f0e-9530-36ee488ed64e-.jpg
M,Moist Diane,15010_moist-diane,https://images.soco.id/e281bea1-dfd7-4739-9ae7-60d43bd70eb4-.jpg
M,Moko Moko,536_moko-moko,https://images.soco.id/9fb67185-0378-4e30-940f-bc14e852cd64-.jpg
M,Moonshot,412_moonshot,https://images.soco.id/2d23f283-85ee-4ec1-8b1f-c972659e8c90-.jpg
M,Mother of Pearl,1259_mother-of-pearl,https://images.soco.id/f0f6a07b-c617-4843-a50f-a0f4ba86601d-41065220054-1630933586300.jpg
M,Muldream,15688_muldream,https://images.soco.id/61e57fd5-f3c6-47a6-ade6-b5b0ffab3751-.jpg
M,Murad,562_murad,https://images.soco.id/11c83dfc-67cb-4f5c-a0dc-5d44e104b1a0-.jpg
